Time, Fuel
4177, 488.5
4184, 487.5
4191, 486.5
4198, 485.5
4205, 484.5
4211, 483.5
4218, 482.5
4226, 481.5
4232, 480.5
4239, 479.5
4246, 478.5
4253, 477.5
4260, 476.5
4267, 475.5
4274, 474.5
4288, 474
4295, 473.5
4302, 473
4309, 472.5
4316, 472
4323, 471.5
4330, 471
4337, 470.5
4343, 470
4350, 469.5
4358, 469
4364, 468.5
4371, 468
4378, 467.5
4385, 467
4392, 466.5
4399, 466
4406, 465.5
4413, 465
4420, 464.5
4427, 464
4434, 463.5
4441, 463
4448, 462.5
4455, 462
4462, 461.5
4469, 461
4475, 460.5
4482, 460
4490, 459.5
4496, 459
4503, 458.5
4510, 458
4517, 457.5
4524, 457
4531, 456.5
4538, 456
4545, 455.5
4552, 455
4559, 454.5
4566, 454
4573, 453.5
4580, 453
4587, 452.5
4594, 452
4601, 451.5
4608, 451
4615, 450.5
4622, 450
4628, 449.5
4635, 449
4642, 448.5
4649, 448
4656, 447.5
4663, 447
4670, 446.5
4677, 446
4684, 445.5
4691, 445
4698, 444.5
4705, 444
4712, 443.5
4719, 443
4726, 442.5
4733, 442
4740, 441.5
4747, 441
4753, 440.5
4761, 440
4767, 439.5
4774, 439
4781, 438.5
4788, 438
4795, 437.5
4802, 437
4809, 436.5
4816, 436
4823, 435.5
4830, 435
4837, 434.5
4844, 434
4851, 433.5
4858, 433
4865, 432.5
4872, 432
4879, 431.5
4886, 431
4893, 430.5
4899, 430
4906, 429.5
4913, 429
4920, 428.5
4927, 428
4934, 427.5
4941, 427
4948, 426.5
4955, 426
4962, 425.5
4969, 425
4976, 424.5
4983, 424
4990, 423.5
4997, 423
5004, 422.5
5011, 422
5018, 421.5
5025, 421
5032, 420.5
5038, 420
5045, 419.5
5052, 419
5060, 418.5
5066, 418
5073, 417.5
5080, 417
5087, 416.5
5094, 416
5101, 415.5
5108, 415
5115, 414.5
5122, 414
5129, 413.5
5136, 413
5143, 412.5
5150, 412
5157, 411.5
5164, 411
5170, 410.5
5177, 410
5184, 409.5
5191, 409
5198, 408.5
5205, 408
5212, 407.5
5219, 407
5226, 406.5
5233, 406
5240, 405.5
5247, 405
5254, 404.5
5261, 404
5268, 403.5
5275, 403
5281, 402.5
5289, 402
5295, 401.5
5302, 401
5309, 400.5
